"ID","sessionID","odhadovana","predikovana","overenie","datum"
"14","51dg379y5r4mb7hpvnt7","1","1","3","2024-04-12"
"16","hkhum8xz0ilp0uy4qmd3m","2","1","4","2024-04-12"
"18","j238x75z2jbtv7m9fbtxu","2","1","3","2024-04-12"
"19","whkyhn3kjmbj1anc8d1a9g","1","1","5","2024-04-12"
"20","4j0orgxvjq9kany58o26l","1","1","5","2024-04-12"
"21","ogh6cyopu3o0v2rrsvi8l9b","1","1","4","2024-04-12"
"22","nq88hdfjng9zqcscp4n1t","1","1","3","2024-04-12"
"23","acbtu6fh1hgjdxisuznsi","2","2","3","2024-04-12"
"24","nyj4wp16vcfgb9pbnbhz5p","1","1","4","2024-04-12"
"25","nyj4wp16vcfgb9pbnbhz5p","1","1","5","2024-04-12"
"26","7tvu7m5u0lyp8rojcfdhcf","2","2","5","2024-04-12"
"27","qoapy8h1z79fupj7zyd115","2","2","4","2024-04-12"
"28","w8y5pp12k3mfyr0bapy6l8","0","0","3","2024-04-12"
"29","idi4gvl7tm6gysj1bzyla","2","2","5","2024-04-12"
"30","3s2blvio587mq2y45u5e8","2","1","2","2024-04-12"
"31","7nvklvlbmbfrtr07q5ujl","2","1","2","2024-04-12"
"32","7nvklvlbmbfrtr07q5mwx","2","2","2","2024-04-12"
"33","i4plwh5zckefrdv6mj2714","1","1","5","2024-04-12"
"34","t7mkykciechftucovqqxsa","2","2","4","2024-04-12"
"35","zsywsauesvzz4m87uxleg","2","2","3","2024-04-12"
"36","kw9oa3l9ka8f9q6elqoxwd","1","1","4","2024-04-13"
"37","3kt81s4iukrr4g7aaukrj","1","1","3","2024-04-13"
"38","lz9skcz11wozj39f4wjl1","1","1","4","2024-04-13"
"39","wzo7tqcy9e8x813pau7uj","2","2","4","2024-04-13"
"40","psojflowbjjl0cztr2mkmb","2","1","2","2024-04-13"
"41","1vot11bn62oqolf9mhgoi","2","2","4","2024-04-13"
"42","i7mxg5bzabr1h9pir7292l","1","1","5","2024-04-13"
"43","11qd3jd0vak311i41tohzp","2","2","3","2024-04-13"
"44","jhaam397r7zbuhbgn4ecd","2","2","3","2024-04-13"
"45","6p47nsnxq1qz0g7kg0fv1","1","1","3","2024-04-13"
"46","9b8pdtnyp67jze1ahk8s0f","1","1","3","2024-04-13"
"47","xyi4c6ca1dk1kqqt5qaplu","2","2","4","2024-04-13"
"48","4dgu455kql3kk98wjv8mug","2","2","3","2024-04-13"
"49","dnts23dokpij0h4yw1os","2","2","3","2024-04-13"
"50","au8ogzamrzsneq8hyq1rrf","2","2","3","2024-04-13"
"52","jlfcp61mv6nsu49erwpa","2","1","4","2024-04-13"
"53","j5vimaebsk9jmcnnno8wyq","2","1","4","2024-04-14"
"54","jlfcp61mv6nsu49erwpa","2","2","4","2024-04-14"
"55","j5vimaebsk9jmcnnno8wyq","2","2","4","2024-04-14"
"56","jlfcp61mv6nsu49erwpa","2","2","4","2024-04-14"
"57","s00gz3ulr5ak425cvf3g","1","1","5","2024-04-14"
"58","9cejc7g7umunofu8b019uq","2","1","2","2024-04-14"
"59","ajenwx90oabt6r5t8gtqhe","1","1","4","2024-04-14"
"60","0vwd0y9uk4ng7l14tr1wmww","2","2","4","2024-04-14"
"61","0vwd0y9uk4ng7l14tr1wmww","2","1","4","2024-04-14"
"62","0vwd0y9uk4ng7l14tr1wmww","2","1","5","2024-04-14"
"63","zve7ml29g33vyujb6he4c","2","2","4","2024-04-14"
"64","0vwd0y9uk4ng7l14tr1wmww","2","1","4","2024-04-14"
"65","71ci37sdxkac8r4acy655g","1","1","4","2024-04-14"
"66","71ci37sdxkac8r4acy655g","0","0","5","2024-04-14"
"67","g8167vtbg5mm6e7f6ibsc","2","1","3","2024-04-14"
"68","vjm29yqxd4bgctomjo6igc","0","0","3","2024-04-14"
"69","vjm29yqxd4bgctomjo6igc","0","0","4","2024-04-14"
"70","g8167vtbg5mm6e7f6ibsc","2","2","4","2024-04-14"
"71","h1ziapn81jykxysronkc","1","1","2","2024-04-15"
"72","symn1lzvgbdjvefdd5hjf","2","2","4","2024-04-15"
"73","p2ixck4vcss0yqp5jwvni1","2","2","4","2024-04-15"
"74","ztvitd750frgwl0gqetrk","0","0","3","2024-04-15"
"75","m8x5oe1xxx8ys9e2baori","2","2","3","2024-04-15"
"76","m8x5oe1xxx8ys9e2baori","2","2","3","2024-04-15"
"78","0ib7jtcy3qfi1qyvszcbl5e","2","2","3","2024-04-15"
"81","traoda6d2hm2otby3kly","1","1","5","2024-04-15"
"82","ci86avwml8a10o7q8z1xzd","0","0","4","2024-04-15"
"83","6o93e4qhvuxf65kcp3sx1","2","2","5","2024-04-15"
"84","l323j5dqk9e7pelgphdr42","2","2","5","2024-04-15"
"86","gntbems3oilwg87z80e0eq","1","1","3","2024-04-16"
"87","tcok00y8xlhd8llbhoeecb","1","2","4","2024-04-16"
"88","pw3yeha4x23sq2hjj07n","2","2","4","2024-04-17"
